Time,Value
1.102,0.427
2.809,0.854
4.516,1.281
6.223,1.708
8.632,2.135
10.940,2.562
12.951,2.989
14.858,3.416
16.869,3.843
18.979,4.270
21.190,4.697
23.598,5.124
25.809,5.551
27.819,5.978
29.729,6.405
31.537,6.832
33.447,7.259
35.258,7.686
37.67,8.113
38.874,8.540
40.784,8.967
42.492,9.394
44.302,9.821
46.111,10.248
47.922,10.676
49.733,11.103
51.643,11.530
53.455,11.957
55.264,12.384
57.76,12.811
58.883,13.238
60.694,13.665
62.504,14.92
64.314,14.519
66.124,14.946
67.935,15.373
69.745,15.800
71.656,16.227
73.466,16.654
75.277,17.81
77.86,17.508
78.895,17.935
