Time,Value
0.603,0.710
2.509,0.223
4.317,0.236
6.124,0.236
7.932,0.236
9.741,0.236
11.647,0.223
13.456,0.235
15.366,0.223
17.176,0.236
18.985,0.236
20.696,0.249
22.505,0.236
24.314,0.236
26.23,0.249
27.831,0.236
29.541,0.249
31.350,0.236
33.59,0.249
34.766,0.250
36.475,0.249
38.285,0.235
40.95,0.236
41.802,0.250
43.612,0.235
45.323,0.249
47.132,0.235
48.844,0.249
50.655,0.235
52.365,0.249
54.75,0.249
55.882,0.236
57.594,0.249
59.403,0.235
61.114,0.249
62.923,0.235
64.634,0.249
66.445,0.235
68.155,0.249
69.965,0.235
71.674,0.249
73.485,0.235
75.196,0.249
77.6,0.235
78.813,0.236
80.523,0.249
82.333,0.235
84.42,0.249
85.852,0.236
87.662,0.235
89.372,0.249
91.83,0.249
92.791,0.250
