Time,Value
0.0,1.458
1.247,1.337
2.483,1.297
3.719,1.275
4.955,1.260
6.191,1.260
7.428,1.271
8.664,1.264
9.900,1.257
11.137,1.260
12.371,1.275
13.607,1.271
14.843,1.257
16.79,1.257
17.316,1.271
18.552,1.271
19.788,1.260
21.24,1.253
22.260,1.264
23.496,1.271
24.732,1.264
25.969,1.257
27.205,1.264
28.441,1.275
29.677,1.264
30.913,1.253
32.150,1.260
33.386,1.275
34.622,1.268
35.859,1.257
37.95,1.260
38.331,1.271
39.567,1.264
40.803,1.257
42.39,1.264
43.275,1.275
44.512,1.268
45.748,1.253
46.984,1.260
48.220,1.275
49.456,1.264
50.692,1.257
51.928,1.260
53.164,1.271
54.401,1.264
55.636,1.257
56.872,1.260
58.108,1.275
59.344,1.268
60.580,1.257
61.816,1.264
63.53,1.271
64.289,1.264
65.525,1.257
66.761,1.260
67.997,1.271
69.233,1.268
70.469,1.257
71.706,1.260
72.942,1.275
74.178,1.271
75.414,1.260
76.650,1.260
77.886,1.271
79.122,1.268
80.359,1.260
81.595,1.260
82.831,1.271
84.67,1.268
85.303,1.253
86.539,1.257
87.775,1.271
89.12,1.271
90.248,1.257
91.484,1.257
92.720,1.268
93.956,1.268
95.192,1.257
96.428,1.260
97.665,1.271
98.900,1.268
100.136,1.253
